,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
31,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,1.0
32,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1.0
33,1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,1.0
34,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,1.0
35,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,1.0
36,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0,1.0
37,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0,1.0
38,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1.0
39,1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,1.0
40,1.51793,12.79,3.5,1.12,73.03,0.64,8.77,0.0,0.0,1.0
41,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0,1.0
42,1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.0,0.0,1.0
43,1.5221,13.73,3.84,0.72,71.76,0.17,9.74,0.0,0.0,1.0
44,1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3,1.0
45,1.519,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0,1.0
46,1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16,1.0
47,1.52667,13.99,3.7,0.71,71.57,0.02,9.82,0.0,0.1,1.0
48,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,1.0
49,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,1.0
50,1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16,1.0
51,1.51926,13.2,3.33,1.28,72.36,0.6,9.14,0.0,0.11,1.0
52,1.51808,13.43,2.87,1.19,72.84,0.55,9.03,0.0,0.0,1.0
53,1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,1.0
54,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.0,0.09,1.0
55,1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24,1.0
56,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,1.0
57,1.51824,12.87,3.48,1.29,72.95,0.6,8.43,0.0,0.0,1.0
58,1.51754,13.48,3.74,1.17,72.99,0.59,8.03,0.0,0.0,1.0
59,1.51754,13.39,3.66,1.19,72.79,0.57,8.27,0.0,0.11,1.0
60,1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0.0,0.0,1.0
61,1.51977,13.81,3.58,1.32,71.72,0.12,8.67,0.69,0.0,1.0
62,1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0.0,0.11,1.0
63,1.52227,14.17,3.81,0.78,71.35,0.0,9.69,0.0,0.0,1.0
64,1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0.0,0.07,1.0
65,1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0,1.0
66,1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0.0,0.17,1.0
67,1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0.0,0.17,1.0
68,1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0.0,0.16,1.0
69,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1.0
70,1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.0,0.12,2.0
71,1.51848,13.64,3.87,1.27,71.96,0.54,8.32,0.0,0.32,2.0
72,1.51593,13.09,3.59,1.52,73.1,0.67,7.83,0.0,0.0,2.0
73,1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.0,0.0,2.0
74,1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0.0,0.0,2.0
75,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0,2.0
76,1.51645,13.44,3.61,1.54,72.39,0.66,8.03,0.0,0.0,2.0
77,1.51627,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0,2.0
78,1.51613,13.92,3.52,1.25,72.88,0.37,7.94,0.0,0.14,2.0
79,1.5159,12.82,3.52,1.9,72.86,0.69,7.97,0.0,0.0,2.0
80,1.51592,12.86,3.52,2.12,72.66,0.69,7.97,0.0,0.0,2.0
81,1.51593,13.25,3.45,1.43,73.17,0.61,7.86,0.0,0.0,2.0
82,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0.0,0.0,2.0
83,1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0.0,0.09,2.0
84,1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0.0,0.0,2.0
85,1.51625,13.36,3.58,1.49,72.72,0.45,8.21,0.0,0.0,2.0
86,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0,2.0
87,1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0.0,0.1,2.0
88,1.51618,13.01,3.5,1.48,72.89,0.6,8.12,0.0,0.0,2.0
89,1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0.0,0.09,2.0
90,1.51841,12.93,3.74,1.11,72.28,0.64,8.96,0.0,0.22,2.0
91,1.51605,12.9,3.44,1.45,73.06,0.44,8.27,0.0,0.0,2.0
92,1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.0,0.19,2.0
93,1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0,2.0
94,1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0,2.0
95,1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0,2.0
96,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,2.0
97,1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,2.0
98,1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.0,0.0,2.0
99,1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0.0,2.0
100,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2.0
101,1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0,2.0
102,1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0.0,0.2,2.0
103,1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0.0,0.0,2.0
104,1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0.0,0.0,2.0
105,1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,2.0
106,1.53125,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28,2.0
107,1.53393,12.3,0.0,1.0,70.16,0.12,16.19,0.0,0.24,2.0
108,1.52222,14.43,0.0,1.0,72.67,0.1,11.52,0.0,0.08,2.0
109,1.51818,13.72,0.0,0.56,74.45,0.0,10.99,0.0,0.0,2.0
110,1.52664,11.23,0.0,0.77,73.21,0.0,14.68,0.0,0.0,2.0
111,1.52739,11.02,0.0,0.75,73.08,0.0,14.96,0.0,0.0,2.0
112,1.52777,12.64,0.0,0.67,72.02,0.06,14.4,0.0,0.0,2.0
113,1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0.0,0.14,2.0
114,1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0.0,0.0,2.0
115,1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0.0,0.0,2.0
116,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1,2.0
117,1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0.0,0.0,2.0
118,1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,2.0
119,1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0,2.0
120,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0.0,0.0,2.0
121,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,2.0
122,1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0,2.0
123,1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0,2.0
124,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0.0,0.0,2.0
125,1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0.0,0.12,2.0
126,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2.0
127,1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0.0,0.17,2.0
128,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2.0
129,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0.0,0.18,2.0
130,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0,2.0
131,1.52614,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1,2.0
132,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.0,0.0,2.0
133,1.518,13.71,3.93,1.54,71.81,0.54,8.21,0.0,0.15,2.0
134,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.0,0.0,2.0
135,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,2.0
136,1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,2.0
137,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,2.0
138,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,2.0
139,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,2.0
140,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0,2.0
141,1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2.0
142,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2.0
143,1.51709,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0,2.0
144,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24,2.0
145,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35,2.0
146,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0,3.0
147,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,3.0
148,1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0.0,0.1,3.0
149,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,3.0
150,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,3.0
151,1.52127,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,3.0
152,1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,3.0
153,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0.0,0.0,3.0
154,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,3.0
155,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0,3.0
156,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0,3.0
157,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,3.0
158,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0,3.0
159,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,3.0
160,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,3.0
161,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3.0
162,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,3.0
163,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0.0,5.0
164,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,5.0
165,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,5.0
166,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0,5.0
167,1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,5.0
168,1.51666,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,5.0
169,1.51994,13.27,0.0,1.76,73.03,0.47,11.32,0.0,0.0,5.0
170,1.52369,13.44,0.0,1.58,72.22,0.32,12.24,0.0,0.0,5.0
171,1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,5.0
172,1.51321,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0,5.0
173,1.52043,13.38,0.0,1.4,72.25,0.33,12.5,0.0,0.0,5.0
174,1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5.0
175,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,5.0
176,1.51905,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0,6.0
177,1.51937,13.79,2.41,1.19,72.76,0.0,9.77,0.0,0.0,6.0
178,1.51829,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0,6.0
179,1.51852,14.09,2.19,1.66,72.67,0.0,9.32,0.0,0.0,6.0
180,1.51299,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0,6.0
181,1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6.0
182,1.51916,14.15,0.0,2.09,72.74,0.0,10.88,0.0,0.0,6.0
183,1.51969,14.56,0.0,0.56,73.48,0.0,11.22,0.0,0.0,6.0
184,1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,6.0
185,1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0.0,7.0
186,1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.0,7.0
187,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0.0,0.0,7.0
188,1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0,7.0
189,1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0,7.0
190,1.51613,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0,7.0
191,1.51602,14.85,0.0,2.38,73.28,0.0,8.76,0.64,0.09,7.0
192,1.51623,14.2,0.0,2.79,73.46,0.04,9.04,0.4,0.09,7.0
193,1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.08,7.0
194,1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,7.0
195,1.51545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05,7.0
196,1.51556,13.87,0.0,2.54,73.23,0.14,9.41,0.81,0.01,7.0
197,1.51727,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0,7.0
198,1.51531,14.38,0.0,2.66,73.1,0.04,9.08,0.64,0.0,7.0
199,1.51609,15.01,0.0,2.51,73.05,0.05,8.83,0.53,0.0,7.0
200,1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0,7.0
201,1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,7.0
202,1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,7.0
203,1.51658,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0,7.0
204,1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,7.0
205,1.51732,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0,7.0
206,1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0,7.0
207,1.51831,14.39,0.0,1.82,72.86,1.41,6.47,2.88,0.0,7.0
208,1.5164,14.37,0.0,2.74,72.85,0.0,9.45,0.54,0.0,7.0
209,1.51623,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0,7.0
210,1.51685,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0,7.0
211,1.52065,14.36,0.0,2.02,73.42,0.0,8.44,1.64,0.0,7.0
212,1.51651,14.38,0.0,1.94,73.61,0.0,8.48,1.57,0.0,7.0
213,1.51711,14.23,0.0,2.08,73.36,0.0,8.62,1.67,0.0,7.0
0,2.0,7.37700441849e-312,7.377226921703e-312,7.377226932137e-312,7.37722693277e-312,7.37722689957e-312,7.37722689862e-312,7.3772269353e-312,7.3772269236e-312,7.37722692929e-312
1,2.0,7.377226925497e-312,7.37722692455e-312,7.377226925813e-312,7.377226940043e-312,7.377213161856e-312,7.37721316154e-312,7.37721313561e-312,7.377226675065e-312,7.377226650085e-312
2,2.0,7.37722663048e-312,7.37722669625e-312,7.377226646923e-312,7.37722664534e-312,7.37722670479e-312,7.37722670194e-312,7.37722670637e-312,7.3772266953e-312,7.377226700045e-312
3,2.0,7.37722669372e-312,7.37722669214e-312,7.377226680757e-312,7.377226689294e-312,7.377226700994e-312,7.37722669815e-312,7.37722668961e-312,7.37722669119e-312,7.377226665263e-312
4,2.0,7.37722667032e-312,7.377226684867e-312,7.377226685184e-312,7.37722666052e-312,7.37722667127e-312,7.37722667949e-312,7.377226662733e-312,7.37722666368e-312,7.37722667222e-312
5,2.0,7.37722664123e-312,7.37722666463e-312,7.377226687397e-312,7.377226645975e-312,7.377226687713e-312,7.37722667886e-312,7.377226655777e-312,7.377226633327e-312,7.37722664724e-312
6,2.0,7.377226642496e-312,7.37722664313e-312,7.377226683286e-312,7.37722663238e-312,7.377226640283e-312,7.3772266387e-312,7.37722663491e-312,7.377226637437e-312,7.37722664882e-312
7,2.0,7.377226631113e-312,7.377226631746e-312,7.377226628267e-312,7.377226634275e-312,7.37722663143e-312,7.377226699413e-312,7.37722662953e-312,7.377226698464e-312,7.3772266289e-312
8,2.0,7.377226630165e-312,7.37722663206e-312,7.37722663396e-312,7.37722669309e-312,7.377226632694e-312,7.37722669562e-312,7.377226629216e-312,7.37722669056e-312,7.377226627003e-312
9,2.0,7.377226689927e-312,7.377226690875e-312,7.377226690243e-312,7.37722662985e-312,7.37721792196e-312,7.377217893503e-312,7.377217906783e-312,7.37721795453e-312,7.377217890973e-312
10,2.0,7.377217897297e-312,7.377217914056e-312,7.37721789287e-312,7.37721790046e-312,7.377217921645e-312,7.37721789793e-312,7.37721788971e-312,7.37721789382e-312,7.377217890657e-312
11,2.0,7.377217898246e-312,7.377217922593e-312,7.377217886546e-312,7.377217900776e-312,7.377217921012e-312,7.377217917534e-312,7.37721793271e-312,7.37721795105e-312,7.377217889076e-312
12,2.0,7.377217900143e-312,7.37721789856e-312,7.377217893187e-312,7.37721788718e-312,7.37721795548e-312,7.37721791785e-312,7.377217916586e-312,7.377217919115e-312,7.377217915953e-312
13,2.0,7.377217904886e-312,7.377217892554e-312,7.3772179071e-312,7.377217907416e-312,7.37721788781e-312,7.37721792354e-312,7.377217956743e-312,7.377217953897e-312,7.377217891606e-312
14,2.0,7.377217885914e-312,7.37721791532e-312,7.377217918167e-312,7.37721792291e-312,7.377217925756e-312,7.377217936506e-312,7.377217890025e-312,7.377217920696e-312,7.37721791722e-312
15,2.0,7.37721789888e-312,7.377217926704e-312,7.377217950735e-312,7.37721792702e-312,7.377217888444e-312,7.37721789129e-312,7.377217924175e-312,7.37721792797e-312,7.37721793366e-312
16,2.0,7.377217929234e-312,7.377217930815e-312,7.377217932396e-312,7.37721791627e-312,7.377217936823e-312,7.377217933344e-312,7.377217912475e-312,7.37721791374e-312,7.377217931763e-312
17,2.0,7.377217927653e-312,7.37721793872e-312,7.377217934925e-312,7.37721791943e-312,7.37721793935e-312,7.37721793524e-312,7.377217920064e-312,7.377217951684e-312,7.377217905835e-312
18,2.0,7.37721795295e-312,7.37721791279e-312,7.377217954846e-312,7.377217953265e-312,7.377217952633e-312,7.37721793113e-312,7.37721792607e-312,7.377217952e-312,7.37721791437e-312
19,2.0,7.37721793556e-312,7.377217915005e-312,7.37721790773e-312,7.37721792892e-312,7.37721795137e-312,7.377217934293e-312,7.37721793018e-312,7.37721789224e-312,7.37721789034e-312
20,2.0,7.377217774927e-312,7.377217782516e-312,7.377217774295e-312,7.3772177354e-312,7.377217730975e-312,7.37721780307e-312,7.377217771765e-312,7.377217770817e-312,7.37721778536e-312
21,2.0,7.377217745204e-312,7.37721780212e-312,7.377217731924e-312,7.377217742675e-312,7.377217745837e-312,7.37721775058e-312,7.377217725916e-312,7.377217779354e-312,7.377217741726e-312
22,2.0,7.37721774868e-312,7.37721773129e-312,7.377217725283e-312,7.37721774489e-312,7.377217750263e-312,7.37721775153e-312,7.377217729394e-312,7.37721774963e-312,7.377217786627e-312
23,2.0,7.377217756587e-312,7.377217736034e-312,7.3772177822e-312,7.37721776038e-312,7.37721776734e-312,7.377217762595e-312,7.377217737615e-312,7.377217802753e-312,7.37721773572e-312
24,2.0,7.37721774299e-312,7.377217733505e-312,7.377217734137e-312,7.377217732556e-312,7.377217786943e-312,7.377217761647e-312,7.377217734453e-312,7.37721773635e-312,7.37721777461e-312
25,2.0,7.37721778283e-312,7.37721778473e-312,7.377217781884e-312,7.377217780935e-312,7.377217783465e-312,7.377217730026e-312,7.377217773346e-312,7.37721776386e-312,7.37721776133e-312
26,2.0,7.377217746785e-312,7.37721776228e-312,7.377217772714e-312,7.37721777366e-312,7.3772177705e-312,7.37721778125e-312,7.377217766706e-312,7.37721777145e-312,7.377217784097e-312
27,2.0,7.377217727813e-312,7.377217764176e-312,7.377217765757e-312,7.377217769236e-312,7.37721779864e-312,7.37721776987e-312,7.377217799907e-312,7.37721777619e-312,7.37721778979e-312
28,2.0,7.377217775243e-312,7.377217777457e-312,7.377217780303e-312,7.377217779986e-312,7.377217723386e-312,7.377217800223e-312,7.37721777208e-312,7.37721778315e-312,7.37721780054e-312
29,2.0,7.37721776323e-312,7.37721772402e-312,7.37721774204e-312,7.377217771133e-312,7.37721780149e-312,7.37721777809e-312,7.37721776291e-312,7.377217784413e-312,7.37721778821e-312
30,2.0,7.37721773319e-312,7.37721773793e-312,7.377217785994e-312,7.377217727497e-312,7.37721776797e-312,7.37721779896e-312,7.3772177724e-312,7.377217802437e-312,7.37721775374e-312
31,2.0,7.37721775975e-312,7.37721777714e-312,7.377217741094e-312,7.37721777398e-312,7.37721774394e-312,7.377217730343e-312,7.377217797694e-312,7.377217755006e-312,7.377223956044e-312
32,2.0,7.37722398703e-312,7.377224016122e-312,7.377223970906e-312,7.377224033197e-312,7.377224030035e-312,7.377224017387e-312,7.377224017704e-312,7.37722400316e-312,7.377224001577e-312
33,2.0,7.37722400569e-312,7.3772240079e-312,7.37722399051e-312,7.377224020233e-312,7.377223986716e-312,7.37722396205e-312,7.37722398134e-312,7.37722397881e-312,7.377223960155e-312
34,2.0,7.37722400948e-312,7.37722402624e-312,7.377223605376e-312,7.377223559843e-312,7.37722360348e-312,7.377223617076e-312,7.377223620554e-312,7.37722358609e-312,7.37722357913e-312
35,2.0,7.37722362182e-312,7.377223591147e-312,7.37722358103e-312,7.37722359684e-312,7.377224255804e-312,7.377224235883e-312,7.37722421533e-312,7.377224228294e-312,7.377224215646e-312
36,2.0,7.37722421122e-312,7.37722419952e-312,7.37722422608e-312,7.377224239994e-312,7.37722425106e-312,7.377224276673e-312,7.377224225764e-312,7.37722422102e-312,7.37722426276e-312
37,2.0,7.377224232405e-312,7.377224233986e-312,7.377224220705e-312,7.377224274143e-312,7.37722423272e-312,7.377224271614e-312,7.37722423778e-312,7.377224237464e-312,7.37722427256e-312
38,2.0,7.377224216595e-312,7.37722424347e-312,7.377224253274e-312,7.37722423209e-312,7.377224205844e-312,7.37722421849e-312,7.377224260863e-312,7.377224270665e-312,7.37722422798e-312
39,2.0,7.37722276017e-312,7.37722281993e-312,7.377222819614e-312,7.377222821827e-312,7.377222804436e-312,7.37722280507e-312,7.37722281234e-312,7.37722280981e-312,7.37722274436e-312
40,2.0,7.377222773765e-312,7.377222779773e-312,7.37722274246e-312,7.377222770287e-312,7.377222779456e-312,7.377222814555e-312,7.377222782935e-312,7.37722275922e-312,7.37722275732e-312
41,2.0,7.37722278072e-312,7.37722281898e-312,7.37722307637e-312,7.377223117793e-312,7.37722313202e-312,7.377223096607e-312,7.3772230887e-312,7.377223078584e-312,7.37722309787e-312
42,2.0,7.37722306973e-312,7.37722308459e-312,7.37722307542e-312,7.377223065935e-312,7.377223070995e-312,7.377223090915e-312,7.37722307795e-312,7.377223076686e-312,7.377223131705e-312
43,2.0,7.37722602211e-312,7.37722600788e-312,7.37722602369e-312,7.37722604266e-312,7.37722604614e-312,7.37722602274e-312,7.37722601009e-312,7.377226045823e-312,7.377226018946e-312
44,2.0,7.37722603792e-312,7.37722601452e-312,7.377226015784e-312,7.37722603697e-312,7.37722601705e-312,7.37722601863e-312,7.377226037286e-312,7.377226014835e-312,7.37722601547e-312
45,2.0,7.37722600282e-312,7.37722598448e-312,7.377225981634e-312,7.377225981e-312,7.377225980053e-312,7.377225986693e-312,7.377226002504e-312,7.377225987326e-312,7.37722597942e-312
46,2.0,7.3772260063e-312,7.377225995547e-312,7.377225995863e-312,7.377226006614e-312,7.377225985745e-312,7.377225993017e-312,7.3772259927e-312,7.377225984796e-312,7.37722598511e-312
47,2.0,7.37722599523e-312,7.377225986377e-312,7.377225991753e-312,7.377225992385e-312,7.37722598385e-312,7.37722598606e-312,7.37722600946e-312,7.37722598195e-312,7.377225988274e-312
48,2.0,7.37722598701e-312,7.377226007563e-312,7.37722598796e-312,7.37722598132e-312,7.377225979737e-312,7.377225982583e-312,7.3772259829e-312,7.377225984164e-312,7.377225983215e-312
