RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.51588,13.12,3.41,1.58,73.26,0.07,8.39,0.0,0.19,2.0
1.5159,13.24,3.34,1.47,73.1,0.39,8.22,0.0,0.0,2.0
1.51629,12.71,3.33,1.49,73.28,0.67,8.24,0.0,0.0,2.0
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0,2.0
1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,2.0
1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,2.0
1.51689,12.67,2.88,1.71,73.21,0.73,8.54,0.0,0.0,2.0
1.51811,12.96,2.96,1.43,72.92,0.6,8.79,0.14,0.0,2.0
1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2.0
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0,2.0
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0.0,0.2,2.0
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0.0,0.0,2.0
1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0.0,0.0,2.0
1.52475,11.45,0.0,1.88,72.19,0.81,13.24,0.0,0.34,2.0
1.53125,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28,2.0
1.53393,12.3,0.0,1.0,70.16,0.12,16.19,0.0,0.24,2.0
1.52222,14.43,0.0,1.0,72.67,0.1,11.52,0.0,0.08,2.0
1.51818,13.72,0.0,0.56,74.45,0.0,10.99,0.0,0.0,2.0
1.52664,11.23,0.0,0.77,73.21,0.0,14.68,0.0,0.0,2.0
1.52739,11.02,0.0,0.75,73.08,0.0,14.96,0.0,0.0,2.0
1.52777,12.64,0.0,0.67,72.02,0.06,14.4,0.0,0.0,2.0
1.51892,13.46,3.83,1.26,72.55,0.57,8.21,0.0,0.14,2.0
1.51847,13.1,3.97,1.19,72.44,0.6,8.43,0.0,0.0,2.0
1.51846,13.41,3.89,1.33,72.38,0.51,8.28,0.0,0.0,2.0
1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1,2.0
1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0.0,0.0,2.0
1.51673,13.3,3.64,1.53,72.53,0.65,8.03,0.0,0.29,2.0
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0,2.0
1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0.0,0.0,2.0
1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,2.0
1.51687,13.23,3.54,1.48,72.84,0.56,8.1,0.0,0.0,2.0
1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0,2.0
1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0.0,0.0,2.0
1.51872,12.93,3.66,1.56,72.51,0.58,8.55,0.0,0.12,2.0
1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2.0
1.52081,13.78,2.28,1.43,71.99,0.49,9.85,0.0,0.17,2.0
1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2.0
1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0.0,0.18,2.0
1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0,2.0
1.52614,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1,2.0
1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.0,0.0,2.0
1.518,13.71,3.93,1.54,71.81,0.54,8.21,0.0,0.15,2.0
1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.0,0.0,2.0
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,2.0
1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,2.0
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,2.0
1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,2.0
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,2.0
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0,2.0
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2.0
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2.0
1.51709,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0,2.0
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24,2.0
1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35,2.0
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0,3.0
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,3.0
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0.0,0.1,3.0
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,3.0
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,3.0
1.52127,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,3.0
1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,3.0
1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0.0,0.0,3.0
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,3.0
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0,3.0
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0,3.0
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,3.0
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0,3.0
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,3.0
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,3.0
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3.0
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,3.0
1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0.0,5.0
1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,5.0
1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,5.0
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0,5.0
1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,5.0
1.51666,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,5.0
1.51994,13.27,0.0,1.76,73.03,0.47,11.32,0.0,0.0,5.0
1.52369,13.44,0.0,1.58,72.22,0.32,12.24,0.0,0.0,5.0
1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,5.0
1.51321,13.0,0.0,3.02,70.7,6.21,6.93,0.0,0.0,5.0
1.52043,13.38,0.0,1.4,72.25,0.33,12.5,0.0,0.0,5.0
1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5.0
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,5.0
1.51905,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0,6.0
1.51937,13.79,2.41,1.19,72.76,0.0,9.77,0.0,0.0,6.0
1.51829,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0,6.0
1.51852,14.09,2.19,1.66,72.67,0.0,9.32,0.0,0.0,6.0
1.51299,14.4,1.74,1.54,74.55,0.0,7.59,0.0,0.0,6.0
1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,6.0
1.51916,14.15,0.0,2.09,72.74,0.0,10.88,0.0,0.0,6.0
1.51969,14.56,0.0,0.56,73.48,0.0,11.22,0.0,0.0,6.0
1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,6.0
1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0.0,7.0
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.0,7.0
1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0.0,0.0,7.0
1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0,7.0
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0,7.0
1.51613,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0,7.0
1.51602,14.85,0.0,2.38,73.28,0.0,8.76,0.64,0.09,7.0
1.51623,14.2,0.0,2.79,73.46,0.04,9.04,0.4,0.09,7.0
1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.08,7.0
1.51683,14.56,0.0,1.98,73.29,0.0,8.52,1.57,0.07,7.0
1.51545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05,7.0
1.51556,13.87,0.0,2.54,73.23,0.14,9.41,0.81,0.01,7.0
1.51727,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0,7.0
1.51531,14.38,0.0,2.66,73.1,0.04,9.08,0.64,0.0,7.0
1.51609,15.01,0.0,2.51,73.05,0.05,8.83,0.53,0.0,7.0
1.51508,15.15,0.0,2.25,73.5,0.0,8.34,0.63,0.0,7.0
1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,7.0
1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,7.0
1.51658,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0,7.0
1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,7.0
1.51732,14.95,0.0,1.8,72.99,0.0,8.61,1.55,0.0,7.0
1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0,7.0
1.51831,14.39,0.0,1.82,72.86,1.41,6.47,2.88,0.0,7.0
1.5164,14.37,0.0,2.74,72.85,0.0,9.45,0.54,0.0,7.0
1.51623,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0,7.0
1.51685,14.92,0.0,1.99,73.06,0.0,8.4,1.59,0.0,7.0
1.52065,14.36,0.0,2.02,73.42,0.0,8.44,1.64,0.0,7.0
1.51651,14.38,0.0,1.94,73.61,0.0,8.48,1.57,0.0,7.0
1.51711,14.23,0.0,2.08,73.36,0.0,8.62,1.67,0.0,7.0
0.05700934579439253,1.1507943295233e-311,3.1084058e-316,1.634243103e-314,1.5e-322,1.150786604574e-311,,0.0,0.0,-6.834300085e-315
72.65093457943925,4.0276e-320,1.1507866390556e-311,1.1507866046054e-311,1e-322,6.95241852319504e-310,0.0,0.0,1.69759685505e-313,2.33419559234e-313
0.4970560747663551,0.0,5.437e-320,1.150786638787e-311,5.77e-321,0.0,5.437e-320,1.150786604629e-311,5.583e-321,1.1507866047714e-311
72.65093457943925,1.150786604645e-311,5.59e-321,1.1507866047714e-311,5.4377e-320,1.1507866046607e-311,5.593e-321,1.1507866047714e-311,5.4377e-320,1.1507866046765e-311
2.7803738317757007,1.1507866047714e-311,5.4377e-320,1.1507866046923e-311,5.603e-321,1.1507866047714e-311,5.4377e-320,1.150786604708e-311,5.61e-321,1.1507866047714e-311
8.95696261682243,1.150786604724e-311,1.12465777484e-312,1.1507866047714e-311,5.4377e-320,1.15078660474e-311,1e-322,6.95241852319504e-310,0.0,0.0
8.95696261682243,2.33419559234e-313,1e-322,6.95241852319504e-310,0.0,0.0,1.69759685505e-313,2.33419559234e-313,5.62e-321,1.1507866047714e-311
72.65093457943925,1.1507866047556e-311,5.613e-321,1.1507866047714e-311,5.4377e-320,1.150786604819e-311,5.52e-321,1.1507866047714e-311,5.4377e-320,1.1507866048346e-311
0.17504672897196263,1.1507866047714e-311,5.4377e-320,1.1507866048504e-311,5.51e-321,1.1507866047714e-311,5.4377e-320,1.1507866048663e-311,5.45e-321,1.1507866047714e-311
2.684532710280374,1.150786604882e-311,5.415e-321,1.1507866047714e-311,1.209537655227e-312,1.150786604898e-311,1.14e-322,1.1507866047714e-311,0.0,0.0
1.444906542056075,0.0,0.0,1.69759685505e-313,2.33419559234e-313,1.018557984653e-312,1.1507866049295e-311,5.4377e-320,1.1507866049137e-311,5e-324
72.65093457943925,1.1507866049295e-311,5.81e-321,0.0,5.438e-320,0.0,5.776e-321,0.0,5.438e-320,1.1507866049927e-311
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95696261682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17504672897196263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17504672897196263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95696261682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17504672897196263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95696261682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.407850467289718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.407850467289718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17504672897196263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17504672897196263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5183654205607477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.444906542056075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4970560747663551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.684532710280374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.65093457943925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95696261682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95696261682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05700934579439253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95696261682243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.17504672897196263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.7803738317757007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
